Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-11-20,2017-11-20 00:00:00.000000000,1.6,1.6522,1.5605,1.64,159737.16,2017-11-20 23:59:59.999000064,257135.103704,867,63221.73,102395.92117,103990153.98589020
2017-11-21,2017-11-21 00:00:00.000000000,1.6257,1.6419,1.54,1.5874,413447.37,2017-11-21 23:59:59.999000064,653820.950625,1362,175919.81,278363.139625,104148219.40243862
2017-11-22,2017-11-22 00:00:00.000000000,1.5728,1.6211,1.5556,1.6158,196457.62,2017-11-22 23:59:59.999000064,311505.227801,987,80232.13,127675.931954,104361862.45006358
2017-11-23,2017-11-23 00:00:00.000000000,1.6,1.618,1.5388,1.57,184458.49,2017-11-23 23:59:59.999000064,289488.771316,1076,59253.54,93386.617325,104387882.70240129
2017-11-24,2017-11-24 00:00:00.000000000,1.5644,1.8187,1.54,1.7292,644218.58,2017-11-24 23:59:59.999000064,1080205.326803,2913,304099.24,510174.257163,104404014.34700322
2017-11-25,2017-11-25 00:00:00.000000000,1.712,1.9588,1.68,1.87,475443.08,2017-11-25 23:59:59.999000064,856432.449549,2082,253533.97,460998.377473,104415074.24702609
2017-11-26,2017-11-26 00:00:00.000000000,1.85,1.91,1.76,1.8388,193666.26,2017-11-26 23:59:59.999000064,359756.024918,1158,104989.64,196618.769481,104413257.80104804
2017-11-27,2017-11-27 00:00:00.000000000,1.8388,1.9532,1.74,1.9532,480695.73,2017-11-27 23:59:59.999000064,877871.738231,2144,238904.3,439279.530828,104423619.77267328
2017-11-28,2017-11-28 00:00:00.000000000,1.945,1.9532,1.801,1.9249,359515.94,2017-11-28 23:59:59.999000064,677548.274444,1245,190125.05,360085.875726,104605012.09752589
2017-11-29,2017-11-29 00:00:00.000000000,1.9248,2.0486,1.55,1.7565,935739.25,2017-11-29 23:59:59.999000064,1734093.398532,5050,433746.49,815204.124711,104715605.57543711
2017-11-30,2017-11-30 00:00:00.000000000,1.7641,2.038,1.71,1.95,748118.06,2017-11-30 23:59:59.999000064,1410818.441963,3988,437620.36,833545.135205,104734789.29545582
2017-12-01,2017-12-01 00:00:00.000000000,1.95,2.1385,1.8801,2.0527,321456.28,2017-12-01 23:59:59.999000064,650183.351446,2307,203762.85,413887.715145,104723793.67154244
2017-12-02,2017-12-02 00:00:00.000000000,2.0526,2.1199,1.975,2.0797,241150.68,2017-12-02 23:59:59.999000064,495787.768605,1776,87909.14,181755.770468,104696032.94646852
2017-12-03,2017-12-03 00:00:00.000000000,2.0797,2.4,2.0438,2.2617,346006.6,2017-12-03 23:59:59.999000064,764734.634109,3928,202747.5,447002.132665,104695745.26902961
2017-12-04,2017-12-04 00:00:00.000000000,2.2617,2.5898,2.2617,2.55,384958.49,2017-12-04 23:59:59.999000064,945326.372868,4076,226810.95,558793.858926,103979841.23211301
2017-12-05,2017-12-05 00:00:00.000000000,2.5305,2.75,2.5,2.612,428655.47,2017-12-05 23:59:59.999000064,1125838.346443,3479,224306.07,591009.242087,104210212.62019863
2017-12-06,2017-12-06 00:00:00.000000000,2.6,2.8,2.3272,2.5134,379335.63,2017-12-06 23:59:59.999000064,970951.895214,3753,175385.81,457892.731551,104167211.72723252
2017-12-07,2017-12-07 00:00:00.000000000,2.5393,2.84,2.4001,2.6625,533510.45,2017-12-07 23:59:59.999000064,1406348.826139,4762,324979.04,867552.113807,104107405.97807969
2017-12-08,2017-12-08 00:00:00.000000000,2.6489,2.8,2.206,2.79,649804.35,2017-12-08 23:59:59.999000064,1643051.586987,7144,283879.56,741396.96443,104215353.89792739
2017-12-09,2017-12-09 00:00:00.000000000,2.789,2.81,2.1777,2.65,477826.16,2017-12-09 23:59:59.999000064,1195662.19831,5654,191521.98,492694.44298,104200785.77692010
2017-12-10,2017-12-10 00:00:00.000000000,2.65,2.6648,2.1315,2.4619,562267.17,2017-12-10 23:59:59.999000064,1346922.162266,5762,223899.97,545211.505988,104038602.26494781
2017-12-11,2017-12-11 00:00:00.000000000,2.4616,2.78,2.4505,2.687,381605.55,2017-12-11 23:59:59.999000064,1008639.185552,4051,219015.46,581388.329972,104103652.33513124
2017-12-12,2017-12-12 00:00:00.000000000,2.687,2.7397,2.4545,2.5547,541865.92,2017-12-12 23:59:59.999000064,1418968.928439,5319,173439.41,459385.723125,104421884.85743819
2017-12-13,2017-12-13 00:00:00.000000000,2.5547,2.74,2.265,2.719,702146.43,2017-12-13 23:59:59.999000064,1805890.315819,7201,288431.22,751735.921251,104534755.41995038
2017-12-14,2017-12-14 00:00:00.000000000,2.7194,3.1521,2.6981,3.1519,998488.09,2017-12-14 23:59:59.999000064,2897004.542185,7170,643753.8,1879878.447535,104560313.95343267
2017-12-15,2017-12-15 00:00:00.000000000,3.1518,4.399,2.99,4.12,919574.18,2017-12-15 23:59:59.999000064,3307473.578784,8392,497883.11,1812034.729126,104750946.19582896
2017-12-16,2017-12-16 00:00:00.000000000,4.16,4.7201,3.8172,4.6378,775606.79,2017-12-16 23:59:59.999000064,3319650.86142,8242,374942.15,1619757.318879,104864952.34987467
2017-12-17,2017-12-17 00:00:00.000000000,4.63,6.7,4.596,5.999,1555662.04,2017-12-17 23:59:59.999000064,8931149.054843,18354,726257.1,4185398.833218,104903637.62539507
2017-12-18,2017-12-18 00:00:00.000000000,5.999,6.1,4.75,6.0,1430171.07,2017-12-18 23:59:59.999000064,7898873.16033,15041,571824.01,3183592.306176,0
2017-12-19,2017-12-19 00:00:00.000000000,5.98,6.463,5.2725,5.6999,1784870.53,2017-12-19 23:59:59.999000064,10454908.076245,18851,814485.7,4820580.770923,0
2017-12-20,2017-12-20 00:00:00.000000000,5.69,5.7,4.68,5.1502,1397302.05,2017-12-20 23:59:59.999000064,7254130.949526,14265,489637.44,2570916.658038,0
2017-12-21,2017-12-21 00:00:00.000000000,5.1819,5.6899,4.42,5.1596,996548.76,2017-12-21 23:59:59.999000064,5040755.016606,11172,474716.83,2395375.533881,0
2017-12-22,2017-12-22 00:00:00.000000000,5.1596,5.1996,3.25,4.2912,1599471.66,2017-12-22 23:59:59.999000064,6727001.091803,17670,686165.77,2903590.965342,0
2017-12-23,2017-12-23 00:00:00.000000000,4.2912,4.998,4.17,4.4,964500.62,2017-12-23 23:59:59.999000064,4432830.069613,16774,491669.28,2270020.563878,0
2017-12-24,2017-12-24 00:00:00.000000000,4.4,5.2,3.8,5.181,1047106.95,2017-12-24 23:59:59.999000064,4706891.053183,46818,603779.33,2711662.814798,0
2017-12-25,2017-12-25 00:00:00.000000000,5.1899,6.88,5.029,6.4631,1480881.6,2017-12-25 23:59:59.999000064,8940235.580009,36765,778999.96,4733735.316554,0
2017-12-26,2017-12-26 00:00:00.000000000,6.4631,10.793,6.35,9.254,3081660.72,2017-12-26 23:59:59.999000064,25800543.063661,72074,1697920.88,14190770.201242,0
2017-12-27,2017-12-27 00:00:00.000000000,9.2861,11.3,8.2605,10.0731,2851073.22,2017-12-27 23:59:59.999000064,27989687.572451,64300,1377360.05,13581639.719565,0
2017-12-28,2017-12-28 00:00:00.000000000,10.07,10.25,7.8,9.25,2593236.47,2017-12-28 23:59:59.999000064,22221179.907645,165192,1229768.43,10532163.418275,0
2017-12-29,2017-12-29 00:00:00.000000000,9.28,9.802,8.39,8.7094,1401565.33,2017-12-29 23:59:59.999000064,12573057.266305,30865,667814.59,6007021.320796,0
2017-12-30,2017-12-30 00:00:00.000000000,8.6808,8.7094,6.9301,7.5947,1648305.01,2017-12-30 23:59:59.999000064,12799185.75526,32178,618466.27,4761697.58732,0
2017-12-31,2017-12-31 00:00:00.000000000,7.5783,8.798,7.5175,8.53,1289214.15,2017-12-31 23:59:59.999000064,10608475.154,31704,699950.53,5775400.054501,0
2018-01-01,2018-01-01 00:00:00.000000000,8.5478,8.7,7.8,8.45,654338.84,2018-01-01 23:59:59.999000064,5400587.859207,20279,284543.08,2353359.331344,0
2018-01-02,2018-01-02 00:00:00.000000000,8.45,9.1133,8.0922,8.715,1262633.42,2018-01-02 23:59:59.999000064,10811231.71794,33193,570796.29,4897457.10487,0
2018-01-03,2018-01-03 00:00:00.000000000,8.7151,9.4697,8.2653,9.304,947392.65,2018-01-03 23:59:59.999000064,8256005.928083,27401,458242.42,4008115.06458,0
2018-01-04,2018-01-04 00:00:00.000000000,9.304,9.6511,8.5595,9.143,964494.94,2018-01-04 23:59:59.999000064,8720171.270568,28847,441178.83,4008049.542355,0
2018-01-05,2018-01-05 00:00:00.000000000,9.135,16.8172,8.9651,14.8908,2764977.04,2018-01-05 23:59:59.999000064,34978202.423947,51841,1602589.46,20568644.635655,0
2018-01-06,2018-01-06 00:00:00.000000000,14.8908,23.6,14.6999,22.6,3130487.22,2018-01-06 23:59:59.999000064,57138637.819288,70041,1771812.52,32876634.524985,0
2018-01-07,2018-01-07 00:00:00.000000000,22.6,22.6599,18.05,18.594,1543764.49,2018-01-07 23:59:59.999000064,31345967.063744,46194,708776.55,14454828.424107,0
2018-01-08,2018-01-08 00:00:00.000000000,18.5375,19.2999,14.0018,17.9971,2112065.22,2018-01-08 23:59:59.999000064,36185866.152152,49814,914759.61,15772386.129404,0
2018-01-09,2018-01-09 00:00:00.000000000,18.04,20.6114,16.435,17.399,1309277.95,2018-01-09 23:59:59.999000064,23915578.639132,42380,583909.64,10759858.496168,0
2018-01-10,2018-01-10 00:00:00.000000000,17.3992,17.5554,14.6004,17.5,1172651.15,2018-01-10 23:59:59.999000064,18789438.19822,42308,492674.28,7935495.943081,0
2018-01-11,2018-01-11 00:00:00.000000000,17.5,23.1079,13.66,21.2024,3542366.83,2018-01-11 23:59:59.999000064,66194432.305624,88612,2166202.35,41150574.954945,0
2018-01-12,2018-01-12 00:00:00.000000000,21.1022,25.18,19.1,22.1999,2902338.37,2018-01-12 23:59:59.999000064,65523685.059818,86735,1365957.48,30737213.94641,0
2018-01-13,2018-01-13 00:00:00.000000000,22.1999,23.4998,21.04,22.0246,1080455.71,2018-01-13 23:59:59.999000064,23892359.656603,44230,467575.41,10377178.212766,0
2018-01-14,2018-01-14 00:00:00.000000000,22.0252,22.1,18.21,20.4541,1384083.33,2018-01-14 23:59:59.999000064,27604526.761593,42782,665685.96,13230835.395014,0
2018-01-15,2018-01-15 00:00:00.000000000,20.4546,23.231,19.0113,19.3396,2288556.77,2018-01-15 23:59:59.999000064,48015494.101221,66566,1169272.59,24767179.142275,0
2018-01-16,2018-01-16 00:00:00.000000000,19.4376,19.4475,9.89,13.1996,9933431.45,2018-01-16 23:59:59.999000064,139644539.595996,147935,4334479.85,61231872.237437,0
2018-01-17,2018-01-17 00:00:00.000000000,13.0262,15.7,9.4001,14.1998,9971697.17,2018-01-17 23:59:59.999000064,122414802.672386,142631,4982836.89,61525790.212851,0
2018-01-18,2018-01-18 00:00:00.000000000,14.1191,15.9,13.0203,14.1397,6699252.37,2018-01-18 23:59:59.999000064,97652794.246735,118654,3287597.88,48019515.817519,0
2018-01-19,2018-01-19 00:00:00.000000000,14.0405,15.4799,13.501,14.9447,3004070.17,2018-01-19 23:59:59.999000064,43859906.146541,62345,1560977.49,22808330.867832,0
2018-01-20,2018-01-20 00:00:00.000000000,14.9447,16.68,14.8249,16.1712,2617140.33,2018-01-20 23:59:59.999000064,41482318.428964,57285,1314236.78,20830639.113968,0
2018-01-21,2018-01-21 00:00:00.000000000,16.1602,16.26,13.0339,14.1334,3318363.34,2018-01-21 23:59:59.999000064,47611231.712227,71698,1412787.57,20310536.117059,0
2018-01-22,2018-01-22 00:00:00.000000000,14.1334,14.4978,11.6101,12.91,2873190.83,2018-01-22 23:59:59.999000064,37462952.575597,64756,1217532.07,15864567.85486,0
2018-01-23,2018-01-23 00:00:00.000000000,12.9149,13.9,11.637,13.1022,2335831.96,2018-01-23 23:59:59.999000064,30111386.35554,56423,1143458.17,14805121.981826,0
2018-01-24,2018-01-24 00:00:00.000000000,13.1494,14.3,12.6,13.8,1947186.76,2018-01-24 23:59:59.999000064,26281710.580195,49234,964474.62,13037708.386372,0
2018-01-25,2018-01-25 00:00:00.000000000,13.7998,14.1516,13.01,13.1905,1427643.05,2018-01-25 23:59:59.999000064,19412612.638806,39298,611524.95,8319211.544083,0
2018-01-26,2018-01-26 00:00:00.000000000,13.1905,13.5989,12.01,13.1344,1788845.56,2018-01-26 23:59:59.999000064,22953959.42558,43843,820913.77,10537197.559583,0
2018-01-27,2018-01-27 00:00:00.000000000,13.169,13.551,12.85,13.3994,992878.39,2018-01-27 23:59:59.999000064,13146032.477264,27493,496983.79,6587591.979455,0
2018-01-28,2018-01-28 00:00:00.000000000,13.3991,14.0235,13.3,13.7739,1377401.9,2018-01-28 23:59:59.999000064,18904156.176433,37047,627386.18,8620370.250697,0
2018-01-29,2018-01-29 00:00:00.000000000,13.7739,13.87,12.739,12.815,857953.21,2018-01-29 23:59:59.999000064,11323433.168136,36407,283251.99,3746954.822087,0
2018-01-30,2018-01-30 00:00:00.000000000,12.8295,12.98,11.11,11.4749,1322539.56,2018-01-30 23:59:59.999000064,15867521.227454,60334,439960.55,5273927.891413,0
2018-01-31,2018-01-31 00:00:00.000000000,11.46,11.5483,10.553,11.3131,947115.48,2018-01-31 23:59:59.999000064,10484378.715139,51311,372638.92,4119751.826771,0
2018-02-01,2018-02-01 00:00:00.000000000,11.3131,11.45,8.63,9.5138,2169016.01,2018-02-01 23:59:59.999000064,21324215.619029,79432,874671.94,8598497.827827,0
2018-02-02,2018-02-02 00:00:00.000000000,9.5138,10.749,7.3,9.7484,4023356.31,2018-02-02 23:59:59.999000064,36505514.477761,121757,1824629.29,16598818.279956,0
2018-02-03,2018-02-03 00:00:00.000000000,9.7485,10.354,8.5818,9.7252,2348921.72,2018-02-03 23:59:59.999000064,22613977.150025,89047,1174331.38,11300838.136596,0
2018-02-04,2018-02-04 00:00:00.000000000,9.7497,9.7527,8.012,8.3511,2015678.77,2018-02-04 23:59:59.999000064,17956277.488154,69602,843918.78,7510381.701155,0
2018-02-05,2018-02-05 00:00:00.000000000,8.4003,8.6005,6.0801,6.7315,3127797.46,2018-02-05 23:59:59.999000064,22662358.507084,90071,1421558.59,10365366.764574,0
2018-02-06,2018-02-06 00:00:00.000000000,6.7216,8.6,5.5233,8.263,6158895.87,2018-02-06 23:59:59.999000064,43465082.516216,157259,2973180.89,21067761.905364,0
2018-02-07,2018-02-07 00:00:00.000000000,8.2502,9.236,7.28,8.0647,4409292.58,2018-02-07 23:59:59.999000064,36944818.075555,125841,2131197.98,17885974.693965,0
2018-02-08,2018-02-08 00:00:00.000000000,8.0979,8.3887,8.0012,8.2791,91986.49,2018-02-08 23:59:59.999000064,759169.472181,1930,60463.29,499188.719546,0
2018-02-09,2018-02-09 00:00:00.000000000,8.2791,10.0,8.279,9.86,2406640.35,2018-02-09 23:59:59.999000064,22679154.338403,62867,1163018.29,10977817.926717,0
2018-02-10,2018-02-10 00:00:00.000000000,9.86,10.4444,8.767,9.2448,3349144.7,2018-02-10 23:59:59.999000064,32153679.13439,93350,1625337.09,15612809.339692,0
2018-02-11,2018-02-11 00:00:00.000000000,9.2501,9.5,8.02,8.674,3021732.48,2018-02-11 23:59:59.999000064,26487879.882144,116910,1485610.23,13028698.962832,0
2018-02-12,2018-02-12 00:00:00.000000000,8.6739,9.4348,8.659,9.3389,1912462.38,2018-02-12 23:59:59.999000064,17582215.104663,94865,972130.85,8943207.538905,0
2018-02-13,2018-02-13 00:00:00.000000000,9.339,9.36,8.7306,9.016,1365850.96,2018-02-13 23:59:59.999000064,12322372.961558,60462,605440.05,5462914.607804,0
2018-02-14,2018-02-14 00:00:00.000000000,9.0001,10.65,8.953,10.4096,2568177.67,2018-02-14 23:59:59.999000064,24867818.305358,88417,1329493.95,12886506.985327,0
2018-02-15,2018-02-15 00:00:00.000000000,10.4063,11.29,9.9784,10.8661,4236021.22,2018-02-15 23:59:59.999000064,45428000.507594,140707,2083884.91,22374914.773176,0
2018-02-16,2018-02-16 00:00:00.000000000,10.8784,11.25,10.3,11.25,1968986.94,2018-02-16 23:59:59.999000064,21239028.809381,76064,973752.07,10521479.816278,0
2018-02-17,2018-02-17 00:00:00.000000000,11.2054,11.8461,10.85,11.66,2278513.2,2018-02-17 23:59:59.999000064,26288227.895486,84738,1105011.59,12758204.991834,0
2018-02-18,2018-02-18 00:00:00.000000000,11.6827,11.6827,10.5819,10.6631,2183910.15,2018-02-18 23:59:59.999000064,24076691.296683,83390,1063569.11,11734259.279323,0
2018-02-19,2018-02-19 00:00:00.000000000,10.6631,11.1899,10.5398,11.0601,1336755.03,2018-02-19 23:59:59.999000064,14693133.116507,58477,681805.04,7498219.507436,0
2018-02-20,2018-02-20 00:00:00.000000000,11.0699,11.2,9.68,9.8888,2357501.48,2018-02-20 23:59:59.999000064,25120547.905454,83560,978445.0,10412029.688544,0
2018-02-21,2018-02-21 00:00:00.000000000,9.8888,10.2252,9.045,9.3799,2277445.93,2018-02-21 23:59:59.999000064,21918750.268079,90850,1100803.5,10593516.726432,0
2018-02-22,2018-02-22 00:00:00.000000000,9.395,9.8129,8.6203,8.86,1792778.94,2018-02-22 23:59:59.999000064,16364492.720244,75059,834506.06,7627316.520246,0
2018-02-23,2018-02-23 00:00:00.000000000,8.8474,9.7301,8.6,9.693,1621549.49,2018-02-23 23:59:59.999000064,14877321.473729,66343,834178.19,7659720.559456,0
2018-02-24,2018-02-24 00:00:00.000000000,9.7,9.8379,8.6902,9.0873,1356848.25,2018-02-24 23:59:59.999000064,12541275.414407,58144,661348.72,6127336.920283,0
2018-02-25,2018-02-25 00:00:00.000000000,9.1161,9.47,8.9,9.35,888973.06,2018-02-25 23:59:59.999000064,8166986.474999,34258,423257.39,3895815.256979,0
2018-02-26,2018-02-26 00:00:00.000000000,9.3677,10.0999,9.09,9.9199,1266163.05,2018-02-26 23:59:59.999000064,12220016.044725,50516,601755.59,5797694.092321,0
2018-02-27,2018-02-27 00:00:00.000000000,9.9199,11.1111,9.7713,10.56,2377225.58,2018-02-27 23:59:59.999000064,25366239.499568,75277,1172440.27,12510455.287161,0
2018-02-28,2018-02-28 00:00:00.000000000,10.56,11.1743,10.3295,10.4536,1610363.07,2018-02-28 23:59:59.999000064,17222788.462377,57703,804217.22,8619434.855496,0
2018-03-01,2018-03-01 00:00:00.000000000,10.4641,10.68,10.3245,10.4768,1224834.48,2018-03-01 23:59:59.999000064,12865720.182066,44634,536528.93,5638941.687783,0
2018-03-02,2018-03-02 00:00:00.000000000,10.4715,10.585,10.1136,10.2348,710198.47,2018-03-02 23:59:59.999000064,7352923.498799,32059,289560.5,2994478.346837,0
2018-03-03,2018-03-03 00:00:00.000000000,10.2347,10.4694,10.1171,10.2399,636280.81,2018-03-03 23:59:59.999000064,6565327.501765,28791,257252.84,2657349.264558,0
2018-03-04,2018-03-04 00:00:00.000000000,10.2399,10.4239,9.8501,10.4139,591499.65,2018-03-04 23:59:59.999000064,5999839.606848,28561,333802.44,3395856.11474,0
2018-03-05,2018-03-05 00:00:00.000000000,10.4139,10.4533,10.0847,10.0847,467389.77,2018-03-05 23:59:59.999000064,4817003.637165,26636,241363.19,2492333.828443,0
2018-03-06,2018-03-06 00:00:00.000000000,10.084,10.134,9.1025,9.3899,939994.7,2018-03-06 23:59:59.999000064,9004310.681736,36492,500897.69,4782985.735328,0
2018-03-07,2018-03-07 00:00:00.000000000,9.3899,10.2114,8.11,9.0405,2930631.06,2018-03-07 23:59:59.999000064,26852891.548299,82063,1522921.14,13984839.058037,0
2018-03-08,2018-03-08 00:00:00.000000000,9.0446,9.1921,8.0211,8.2703,1878677.62,2018-03-08 23:59:59.999000064,15950752.244674,64654,898321.21,7651523.135518,0
2018-03-09,2018-03-09 00:00:00.000000000,8.2703,8.3421,7.06,8.2807,1949612.67,2018-03-09 23:59:59.999000064,14901604.200198,75679,989550.72,7563547.011727,0
2018-03-10,2018-03-10 00:00:00.000000000,8.2951,8.3498,7.5553,7.65,2213393.39,2018-03-10 23:59:59.999000064,17878163.37168,46906,1221142.18,9871058.770142,0
2018-03-11,2018-03-11 00:00:00.000000000,7.65,8.423,7.2,8.268,2660649.85,2018-03-11 23:59:59.999000064,21201501.075759,51059,1494073.62,11932374.775929,0
2018-03-12,2018-03-12 00:00:00.000000000,8.2679,8.4988,7.66,8.034,2529859.67,2018-03-12 23:59:59.999000064,20891213.106571,44596,1399740.02,11580727.00424,0
2018-03-13,2018-03-13 00:00:00.000000000,8.0204,11.0,7.8055,10.2188,7227864.56,2018-03-13 23:59:59.999000064,69292853.792193,147241,3934692.76,37583019.922512,0
2018-03-14,2018-03-14 00:00:00.000000000,10.1999,10.6753,8.5,8.9243,5154134.62,2018-03-14 23:59:59.999000064,50429708.105629,113508,2737653.92,26914738.470983,0
2018-03-15,2018-03-15 00:00:00.000000000,8.915,9.4486,8.3,9.1047,4274358.77,2018-03-15 23:59:59.999000064,38290247.370829,85283,2147644.29,19265435.040743,0
2018-03-16,2018-03-16 00:00:00.000000000,9.1074,9.38,8.55,9.0645,4046429.23,2018-03-16 23:59:59.999000064,36778757.583016,52658,2201661.12,19981726.892865,0
2018-03-17,2018-03-17 00:00:00.000000000,9.1043,9.471,8.6245,8.9231,3951199.27,2018-03-17 23:59:59.999000064,35664698.273175,50213,2124570.93,19152630.250043,0
2018-03-18,2018-03-18 00:00:00.000000000,8.9256,8.98,7.8,8.9648,3959581.29,2018-03-18 23:59:59.999000064,33053790.205281,83905,2047368.75,17101997.184492,0
2018-03-19,2018-03-19 00:00:00.000000000,8.9664,9.4,8.45,9.035,3907835.7,2018-03-19 23:59:59.999000064,34486023.701827,78120,2146025.27,18964065.122319,0
2018-03-20,2018-03-20 00:00:00.000000000,9.035,9.2888,8.6001,9.1618,3926209.35,2018-03-20 23:59:59.999000064,35159668.439161,64516,2011239.45,18017935.128938,0
2018-03-21,2018-03-21 00:00:00.000000000,9.1865,10.3383,9.01,9.9777,4959307.31,2018-03-21 23:59:59.999000064,47849842.97735,89984,2602158.32,25136701.357964,0
2018-03-22,2018-03-22 00:00:00.000000000,9.9729,10.94,9.47,10.0806,4709042.44,2018-03-22 23:59:59.999000064,47848987.776693,107559,2300794.47,23410668.48882,0
2018-03-23,2018-03-23 00:00:00.000000000,10.0614,11.98,9.5,11.7397,5510835.71,2018-03-23 23:59:59.999000064,58744458.384913,114219,2873810.64,30690279.302025,0
2018-03-24,2018-03-24 00:00:00.000000000,11.7158,14.9444,11.5314,13.2398,8441747.33,2018-03-24 23:59:59.999000064,109966022.967657,183565,4314061.31,56139339.869612,0
2018-03-25,2018-03-25 00:00:00.000000000,13.2398,14.26,12.4771,12.95,6175307.17,2018-03-25 23:59:59.999000064,82161202.42043,137232,2940644.94,39137650.564152,0
2018-03-26,2018-03-26 00:00:00.000000000,12.95,13.04,10.8189,12.05,5486492.23,2018-03-26 23:59:59.999000064,65134074.948887,111254,2822593.77,33570260.705871,0
2018-03-27,2018-03-27 00:00:00.000000000,12.01,12.23,10.83,11.5404,4077306.58,2018-03-27 23:59:59.999000064,47085538.256193,93422,1978793.5,22906084.039967,0
2018-03-28,2018-03-28 00:00:00.000000000,11.5404,12.235,11.31,11.6888,3219334.4,2018-03-28 23:59:59.999000064,37792501.912111,63096,1591757.44,18693459.208646,0
2018-03-29,2018-03-29 00:00:00.000000000,11.687,11.7494,10.11,10.1877,3602154.55,2018-03-29 23:59:59.999000064,39276255.097276,98029,1803152.27,19722349.498457,0
2018-03-30,2018-03-30 00:00:00.000000000,10.1877,10.8769,9.6305,10.3955,3795257.43,2018-03-30 23:59:59.999000064,38548819.307562,134622,1928682.07,19625070.012673,0
2018-03-31,2018-03-31 00:00:00.000000000,10.4,11.4836,10.25,11.051,4177534.21,2018-03-31 23:59:59.999000064,45663753.203284,90096,2118163.83,23149678.871678,0
2018-04-01,2018-04-01 00:00:00.000000000,11.0599,11.3106,10.3002,11.0767,4095797.21,2018-04-01 23:59:59.999000064,44633665.77944,91391,2218471.45,24208904.738651,0
2018-04-02,2018-04-02 00:00:00.000000000,11.0956,12.68,10.9815,12.5996,4507155.16,2018-04-02 23:59:59.999000064,53481043.8005,93935,2295314.86,27181045.298603,0
2018-04-03,2018-04-03 00:00:00.000000000,12.5996,13.9701,12.2114,13.305,5149823.24,2018-04-03 23:59:59.999000064,68261762.427423,123247,2550063.1,33808966.599863,0
2018-04-04,2018-04-04 00:00:00.000000000,13.2788,13.4889,12.0,12.21,5112820.69,2018-04-04 23:59:59.999000064,64097901.423755,133806,2373126.1,29782537.155206,0
2018-04-05,2018-04-05 00:00:00.000000000,12.2098,12.65,12.093,12.4888,4295442.59,2018-04-05 23:59:59.999000064,53212219.531211,76267,2150960.45,26672914.91695,0
2018-04-06,2018-04-06 00:00:00.000000000,12.4888,12.7001,12.0115,12.2599,3151837.66,2018-04-06 23:59:59.999000064,38651401.407442,51383,1761833.44,21614044.244718,0
2018-04-07,2018-04-07 00:00:00.000000000,12.26,12.6487,12.22,12.5,3256833.91,2018-04-07 23:59:59.999000064,40619324.091952,51303,1717405.06,21423166.901724,0
2018-04-08,2018-04-08 00:00:00.000000000,12.5,12.5216,12.11,12.1311,3085224.78,2018-04-08 23:59:59.999000064,37945714.872477,47888,1733940.95,21331585.161224,0
2018-04-09,2018-04-09 00:00:00.000000000,12.1244,12.55,11.51,11.8888,3011093.55,2018-04-09 23:59:59.999000064,36295327.01358,77270,1488630.64,17958858.37108,0
2018-04-10,2018-04-10 00:00:00.000000000,11.8832,12.441,11.77,12.0904,3449392.51,2018-04-10 23:59:59.999000064,41694196.558433,61241,1596454.66,19317831.167068,0
2018-04-11,2018-04-11 00:00:00.000000000,12.1121,12.33,11.77,12.33,3394146.16,2018-04-11 23:59:59.999000064,40544573.621479,49233,1710696.67,20443487.244931,0
2018-04-12,2018-04-12 00:00:00.000000000,12.33,13.034,11.85,13.0087,4889173.13,2018-04-12 23:59:59.999000064,60784049.312556,112448,2536867.62,31569477.620815,0
2018-04-13,2018-04-13 00:00:00.000000000,13.0087,13.82,12.6961,13.52,5339975.42,2018-04-13 23:59:59.999000064,70417293.134669,113035,2837794.69,37449400.642436,0
2018-04-14,2018-04-14 00:00:00.000000000,13.52,13.88,12.9174,13.2888,3521128.98,2018-04-14 23:59:59.999000064,47242696.623243,65929,1881261.34,25286092.919801,0
2018-04-15,2018-04-15 00:00:00.000000000,13.2865,13.62,12.9,13.0989,3854973.61,2018-04-15 23:59:59.999000064,50966457.161287,78848,1771348.15,23465247.361196,0
2018-04-16,2018-04-16 00:00:00.000000000,13.0985,13.0997,12.011,12.2342,2709514.47,2018-04-16 23:59:59.999000064,33604249.542756,62677,1238026.97,15333481.972551,0
2018-04-17,2018-04-17 00:00:00.000000000,12.2342,12.4848,11.6658,11.777,2444511.0,2018-04-17 23:59:59.999000064,29830190.391654,59324,1145149.8,13987215.063937,0
2018-04-18,2018-04-18 00:00:00.000000000,11.777,12.45,11.511,12.2999,2739464.35,2018-04-18 23:59:59.999000064,32476880.961602,57860,1350782.98,16039982.194059,0
2018-04-19,2018-04-19 00:00:00.000000000,12.2999,12.44,12.02,12.361,2401088.65,2018-04-19 23:59:59.999000064,29469321.849412,48333,1148488.5,14108099.075514,0
2018-04-20,2018-04-20 00:00:00.000000000,12.3502,12.7241,11.85,12.5858,2737433.33,2018-04-20 23:59:59.999000064,33661511.198102,63454,1307596.72,16081902.633289,0
2018-04-21,2018-04-21 00:00:00.000000000,12.574,13.74,12.38,13.3302,4556037.09,2018-04-21 23:59:59.999000064,59501254.836204,115450,2391854.95,31290873.831878,0
2018-04-22,2018-04-22 00:00:00.000000000,13.3689,13.3987,12.8,12.8888,2564431.16,2018-04-22 23:59:59.999000064,33398981.918383,57960,1291206.9,16830512.268339,0
